imdb_title_id,title,original_title,year,genre,country,language,votes
tt2094825,Gearheads,Gearheads,2016,Action,USA,English,214
tt3616894,The Chemist,The Chemist,2016,Action,USA,English,189
tt3652964,ID2: Shadwell Army,ID2: Shadwell Army,2016,Action,UK,English,459
tt3686256,Viraat,Viraat,2016,Action,India,Kannada,144
tt3951298,Leap,Leap,2016,Action,USA,English,134
tt4586626,Showdown in Manila,Showdown in Manila,2016,Action,USA,English,1626
tt4970038,La leggenda del calcio d'acciaio,Chao ji bao biao,2016,Action,China,Chinese,605
tt5020372,Kill Ratio,Kill Ratio,2016,Action,USA,English,893
tt5556110,Pugazh,Pugazh,2016,Action,India,Tamil,162
tt5582876,In the Name of Ben Hur,In the Name of Ben Hur,2016,Action,USA,English,756
tt5659172,High & Low: The Movie,High & Low: The Movie,2016,Action,Japan,Japanese,283
tt5693776,Triangle the Dark Side,Triangle the Dark Side,2016,Action,Indonesia,Indonesian,247
tt1860213,Nonno scatenato,Dirty Grandpa,2016,Comedy,"USA, UK",English,110705
tt1949605,"Mozart, un cane per due",Who Gets the Dog?,2016,Comedy,USA,English,1244
tt3074546,Casual Encounters,Casual Encounters,2016,Comedy,USA,English,454
tt3135556,Jimmy Vestvood - Benvenuti in Amerika,Jimmy Vestvood: Amerikan Hero,2016,Comedy,USA,English,2440
tt3212812,Minha Mãe é uma Peça 2: O Filme,Minha Mãe é uma Peça 2: O Filme,2016,Comedy,Brazil,Portuguese,2144
tt3235880,AmStarDam,AmStarDam,2016,Comedy,UK,English,952
tt3257550,Hard Sell,Hard Sell,2016,Comedy,USA,English,702
tt3285740,My Dead Boyfriend,My Dead Boyfriend,2016,Comedy,USA,English,477
tt3316406,Seitenwechsel,Seitenwechsel,2016,Comedy,Germany,German,178
tt3407236,Je me tue à le dire,Je me tue à le dire,2016,Comedy,"Belgium, France",French,205
tt3421780,Tamo Junto,Tamo Junto,2016,Comedy,Brazil,Portuguese,112
tt3515318,Hot Property,Hot Property,2016,Comedy,UK,English,200
tt3583370,The Bet,The Bet,2016,Comedy,USA,English,240
