id,sub_id,imdb_title_id,title,original_title,year,genre,country,language,votes
1,1,tt2445568,Outlawed,Outlawed,2018,Action,UK,English,1021
2,2,tt3616934,"Blood, Sand and Gold","Blood, Sand and Gold",2018,Action,"USA, Hong Kong, Mexico, Morocco, Switzerland, United Arab Emirates",English,411
3,3,tt5465970,Attrition,Attrition,2018,Action,"Thailand, Hong Kong, UK, USA","English, Mandarin",727
4,4,tt5471258,Penance,Penance,2018,Action,"Ireland, UK","English, Irish",185
5,5,tt5855164,Point Man,Point Man,2018,Action,USA,English,352
6,6,tt5885106,Vengeance,Vengeance,2018,Action,UK,English,1117
7,7,tt6012244,All the Devil's Men - Squadra speciale,All the Devil's Men,2018,Action,UK,English,2133
8,8,tt6102104,Ride,Ride,2018,Action,USA,English,105
9,9,tt6354056,Code Name: Dynastud,Code Name: Dynastud,2018,Action,USA,English,223
10,10,tt6468814,Touch Chesi Chudu,Touch Chesi Chudu,2018,Action,India,Telugu,591
11,11,tt7692824,Billy,Billy,2018,Comedy,Netherlands,Dutch,380
12,12,tt7707314,Lionheart,Lionheart,2018,Comedy,Nigeria,"English, Hausa, Ibo",1239
13,13,tt7714878,Restiamo amici,Restiamo amici,2018,Comedy,Italy,Italian,118
14,14,tt7715244,Cosa fai a Capodanno?,Cosa fai a Capodanno?,2018,Comedy,Italy,Italian,204
15,15,tt7730492,Una festa esagerata,Una festa esagerata,2018,Comedy,Italy,Italian,165
16,16,tt7740284,Charlotte a du fun,Charlotte a du fun,2018,Comedy,Canada,French,483
17,17,tt7746728,Sol Alegria,Sol Alegria,2018,Comedy,Brazil,Portuguese,111
18,18,tt8092932,Ev Kira Semt Bizim,Ev Kira Semt Bizim,2018,Comedy,Turkey,Turkish,347
19,19,tt8098548,Larguées,Larguées,2018,Comedy,France,French,776
20,20,tt8108278,Balam balam balam,Balam balam balam,2018,Comedy,South Korea,Korean,263
21,21,tt8129794,100 Dinge,100 Dinge,2018,Comedy,Germany,"German, English, Finnish",3346
22,22,tt8158828,"Nu, zdravstvuy, Oksana Sokolova!","Nu, zdravstvuy, Oksana Sokolova!",2018,Comedy,Russia,Russian,141
23,23,tt8160694,Trabajo Sucio,Trabajo Sucio,2018,Comedy,Dominican Republic,Spanish,196
24,24,tt8166164,Bee Nest,Bee Nest,2018,Comedy,Iran,Persian,267
25,25,tt8175968,High Jack,High Jack,2018,Comedy,India,Hindi,280
