id,,imdb_title_id,title,original_title,year,genre,country,language,votes
1,,tt2445568,Outlawed,Outlawed,2018,Action,UK,English,1021
2,,tt3616934,"Blood, Sand and Gold","Blood, Sand and Gold",2018,Action,"USA, Hong Kong, Mexico, Morocco, Switzerland, United Arab Emirates",English,411
3,,tt5465970,Attrition,Attrition,2018,Action,"Thailand, Hong Kong, UK, USA","English, Mandarin",727
4,,tt5471258,Penance,Penance,2018,Action,"Ireland, UK","English, Irish",185
5,,tt5855164,Point Man,Point Man,2018,Action,USA,English,352
6,,tt5885106,Vengeance,Vengeance,2018,Action,UK,English,1117
7,,tt6012244,All the Devil's Men - Squadra speciale,All the Devil's Men,2018,Action,UK,English,2133
8,,tt6102104,Ride,Ride,2018,Action,USA,English,105
9,,tt6354056,Code Name: Dynastud,Code Name: Dynastud,2018,Action,USA,English,223
10,,tt6468814,Touch Chesi Chudu,Touch Chesi Chudu,2018,Action,India,Telugu,591
11,,tt6863784,Saamy²,Saamy²,2018,Action,India,Tamil,1124
12,,tt6864090,Dead Ringer,Dead Ringer,2018,Action,UK,English,194
13,,tt6872436,Sketch,Sketch,2018,Action,India,"Tamil, Telugu",1623
14,,tt7155178,Over Drive,Over Drive,2018,Action,Japan,Japanese,236
15,,tt7156436,Take Point,Take Point,2018,Action,South Korea,"Korean, English",871
16,,tt8826936,Mauli,Mauli,2018,Action,India,Marathi,213
17,,tt9021374,The Dragon Unleashed,The Dragon Unleashed,2018,Action,USA,English,217
18,,tt9081774,Kuang tu,Kuang tu,2018,Action,Taiwan,Mandarin,212
19,,tt9204408,Gong fu lian meng,Gong fu lian meng,2018,Action,Hong Kong,"Cantonese, Mandarin",440
20,,tt9221238,Polis Evo 2,Polis Evo 2,2018,Action,Malaysia,Malay,299
21,,tt9760934,Villain,Villain,2018,Action,India,Bengali,117
22,,tt2463842,Lola+Jeremy,Blockbuster,2018,Comedy,France,French,409
23,,tt2531344,Giù le mani dalle nostre figlie,Blockers,2018,Comedy,USA,English,69041
24,,tt5619332,Life of the Party - Una mamma al college,Life of the Party,2018,Comedy,USA,English,32014
25,,tt5639898,Social Animals,Social Animals,2018,Comedy,USA,English,1590
26,,tt5718046,Viaggio con papà - Istruzioni per l'uso,An Actor Prepares,2018,Comedy,USA,English,550
27,,tt5724948,Old Boys,Old Boys,2018,Comedy,"UK, Sweden","English, French",929
28,,tt5741008,Bully,Bully,2018,Comedy,USA,English,180
29,,tt5842616,Veere Di Wedding,Veere Di Wedding,2018,Comedy,India,Hindi,11395
30,,tt5848986,You Can't Say No,You Can't Say No,2018,Comedy,USA,English,269
31,,tt5866442,Un marito da addestrare,How to Pick Your Second Husband First,2018,Comedy,USA,English,554
32,,tt5872472,"Verpiss Dich, Schneewittchen","Verpiss Dich, Schneewittchen",2018,Comedy,Germany,German,228
33,,tt5906562,Night Out,Night Out,2018,Comedy,Germany,"English, German",146
34,,tt5990956,Finché matrimonio non ci separi,Hasta que la boda nos separe,2018,Comedy,Mexico,Spanish,343
35,,tt6038114,Não Se Aceitam Devoluções,Não Se Aceitam Devoluções,2018,Comedy,Brazil,"Portuguese, Spanish, English",112
36,,tt6053938,Las leyes de la termodinámica,Las leyes de la termodinámica,2018,Comedy,Spain,"Spanish, English",2338
37,,tt6093618,Antiquities,Antiquities,2018,Comedy,USA,English,1322
38,,tt6096948,Comme des garçons,Comme des garçons,2018,Comedy,France,"French, Italian, English",460
39,,tt6113122,Hurricane Bianca: From Russia with Hate,Hurricane Bianca: From Russia with Hate,2018,Comedy,USA,English,2116
40,,tt6131126,Todo Mal,Todo Mal,2018,Comedy,Mexico,Spanish,198
41,,tt6149464,30 Nights,30 Nights,2018,Comedy,USA,English,162
42,,tt6194704,À 2 heures de Paris,À 2 heures de Paris,2018,Comedy,France,French,123
43,,tt6268734,Holly Star,Holly Star,2018,Comedy,USA,English,328
44,,tt6268882,Family,Family,2018,Comedy,USA,English,1931
45,,tt6781982,La scuola serale,Night School,2018,Comedy,USA,"English, Spanish, French, Arabic",32865
46,,tt6821012,Matrimonio a Long Island,The Week Of,2018,Comedy,USA,English,17692
47,,tt6831724,El mundo es suyo,El mundo es suyo,2018,Comedy,Spain,Spanish,467
48,,tt6832138,Alla ricerca di Teddy,Le doudou,2018,Comedy,France,French,487
