id,id,imdb_title_id,title,original_title,year,genre,country,language,votes,,,,,
1,1,tt10275080,Agent Jade Black,Agent Jade Black,2020,Action,USA,English,181,,,,,
2,2,tt10933680,The Debt Collector 2,The Debt Collector 2,2020,Action,USA,English,1219,,,,,Action
3,3,tt11515380,3rd Class,3rd Class,2020,Action,India,Kannada,107,,,,,Comedy
4,4,tt11576124,Rogue,Rogue,2020,Action,"South Africa, UK",English,1551,,,,,Drama
5,5,tt11718728,The Insurrection,The Insurrection,2020,Action,USA,English,164,,,,,Horror
6,6,tt11749480,Shooter,Shooter,2020,Action,India,Punjabi,101,,,,,Romance
7,7,tt11765324,In the Drift,In the Drift,2020,Action,USA,"English, Spanish",204,,,,,Sci-Fi
8,8,tt11769162,Santana,Santana,2020,Action,"South Africa, Angola",English,405,,,,,Thriller
9,9,tt3290322,The Runners,The Runners,2020,Action,USA,,155,,,,,
10,10,tt7286966,Money Plane,Money Plane,2020,Action,USA,English,725,,,,,
11,11,tt7983744,Rogue Warfare 3: Death of a Nation,Rogue Warfare 3: Death of a Nation,2020,Action,USA,English,162,,,,,
12,12,tt8011344,Asura Guru,Asura Guru,2020,Action,India,Tamil,197,,,,,
13,13,tt8972556,I Am Vengeance: Retaliation,I Am Vengeance: Retaliation,2020,Action,UK,English,403,,,,,
14,14,tt9347750,The Protector,Final Kill,2020,Action,"USA, Thailand",English,594,,,,,
15,15,tt10423160,Kaiji: Fainaru gêmu,Kaiji: Fainaru gêmu,2020,Adventure,Japan,Japanese,117,,,,,
16,16,tt11561866,Masameer the Movie,Masameer the Movie,2020,Animation,Saudi Arabia,Arabic,1623,,,,,
17,17,tt12588448,Larva Island - Il film,The Larva Island Movie,2020,Animation,South Korea,English,307,,,,,
18,18,tt8774798,100% Wolf,100% Wolf,2020,Animation,Australia,English,298,,,,,
19,19,tt11547520,Kalashnikov,Kalashnikov,2020,Biography,Russia,Russian,770,,,,,
20,20,tt6744988,Street Survivors: The True Story of the Lynyrd Skynyrd Plane Crash,Street Survivors: The True Story of the Lynyrd Skynyrd Plane Crash,2020,Biography,USA,,194,,,,,
21,21,tt10157810,Fjols til Fjells,Fjols til Fjells,2020,Comedy,Norway,Norwegian,197,,,,,
22,22,tt10168672,Gli infedeli,Gli infedeli,2020,Comedy,Italy,Italian,856,,,,,
23,23,tt10229794,Paapam Cheyyathavar Kalleriyatte,Paapam Cheyyathavar Kalleriyatte,2020,Comedy,India,Malayalam,287,,,,,
24,24,tt10251538,10 jours sans maman,10 jours sans maman,2020,Comedy,France,French,303,,,,,
25,25,tt10252330,Enkel für Anfänger,Enkel für Anfänger,2020,Comedy,Germany,German,149,,,,,
26,26,tt10349240,Mujeres Arriba,Mujeres Arriba,2020,Comedy,Chile,Spanish,353,,,,,
27,27,tt10375272,Onze Jongens in Miami,Onze Jongens in Miami,2020,Comedy,Netherlands,Dutch,224,,,,,
28,28,tt10419042,AB Aani CD,AB Aani CD,2020,Comedy,India,Marathi,115,,,,,
29,29,tt10426916,Tout simplement noir,Tout simplement noir,2020,Comedy,France,French,359,,,,,
30,30,tt10449466,Se mieletön remppa,Se mieletön remppa,2020,Comedy,Finland,Finnish,111,,,,,
31,31,tt10472102,Karakomik Filmler: Emanet,Karakomik Filmler: Emanet,2020,Comedy,Turkey,Turkish,4126,,,,,
32,32,tt10481184,Un figlio di nome Erasmus,Un figlio di nome Erasmus,2020,Comedy,Italy,"Italian, Portuguese",116,,,,,
33,33,tt10492998,Odio l'estate,Odio l'estate,2020,Comedy,Italy,Italian,1105,,,,,
34,34,tt10549312,Baba Parasi,Baba Parasi,2020,Comedy,Turkey,"Turkish, English",1876,,,,,
35,35,tt10613992,Seurapeli,Seurapeli,2020,Comedy,Finland,Finnish,132,,,,,
36,36,tt10658928,Ducobu 3,Ducobu 3,2020,Comedy,France,French,108,,,,,
37,37,tt10692994,Dhamaka,Dhamaka,2020,Comedy,India,Malayalam,697,,,,,
38,38,tt10699348,Rundfunk: Jachterwachter,Rundfunk: Jachterwachter,2020,Comedy,Netherlands,Dutch,439,,,,,
39,39,tt10709742,Die Hochzeit,Die Hochzeit,2020,Comedy,Germany,German,321,,,,,
40,40,tt10735778,Nashi Kotyky,Nashi Kotyky,2020,Comedy,"Ukraine, USA, Canada","Ukrainian, Russian",682,,,,,
41,41,tt10746876,Papi Sitter,Papi Sitter,2020,Comedy,France,French,132,,,,,
