country,no_movies
Albania,25
Algeria,15
Angola,5
Argentina,373
Armenia,15
Australia,472
Austria,173
Azerbaijan,16
Bahamas,6
Bangladesh,69
Belgium,836
Bhutan,4
Bolivia,8
Bosnia and Herzegovina,49
Brazil,455
Brunei,2
Bulgaria,123
Burkina Faso,1
Cambodia,16
Canada,1500
Chile,129
China,774
Colombia,120
Costa Rica,15
Croatia,123
Cuba,22
Cyprus,19
Czech Republic,194
Denmark,324
Dominican Republic,37
East Germany,0
Ecuador,13
Egypt,152
Estonia,69
Ethiopia,6
Federal Republic of Yugoslavia,0
Finland,226
France,2591
Georgia,42
Germany,1493
Ghana,6
Gibraltar,0
Greece,199
Greenland,2
Guatemala,10
Honduras,2
Hong Kong,417
Hungary,191
Iceland,76
India,3342
Indonesia,199
Iran,362
Iraq,13
Ireland,234
Israel,141
Italy,896
Jamaica,2
Japan,1198
Jordan,24
Kazakhstan,23
Korea,636
Kosovo,15
Kuwait,2
Kyrgyzstan,7
Latvia,49
Lebanon,46
Lithuania,80
Luxembourg,121
Malaysia,80
Mali,2
Malta,16
Mexico,434
Moldova,4
Mongolia,9
Montenegro,16
Morocco,43
Mozambique,2
Myanmar,7
Nepal,26
Netherlands,483
New Zealand,102
Nigeria,28
North Korea,1
Norway,267
Pakistan,77
Palestine,14
Panama,9
Paraguay,4
Peru,40
Philippines,189
Poland,367
Portugal,166
Puerto Rico,20
Republic of North Macedonia,49
Romania,181
Russia,607
Senegal,7
Serbia,149
Serbia and Montenegro,2
Singapore,66
Slovakia,66
Slovenia,67
South Africa,148
South Korea,635
Spain,808
Sri Lanka,24
Sweden,412
Switzerland,222
Syria,3
Taiwan,154
Thailand,194
Trinidad and Tobago,6
Tunisia,23
Turkey,713
United Kingdom,2414
Ukraine,102
United Arab Emirates,93
Uruguay,43
United States of America,10116
Venezuela,37
Vietnam,44
Yemen,3
Yugoslavia,0
