imdb_title_id,title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,gross,gross_mil
tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",English,Edgar Wright,"Michael Bacall, Edgar Wright",Universal Pictures,"Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill, Aubrey Plaza, Mary Elizabeth Winstead, Jason Schwartzman, Johnny Simmons, Mark Webber, Ellen Wong, Satya Bhabha, Will Bowes, Celine Lepage, Keita Saitou, Mark Leroy",7.5,368833,$ 60000000,48917000,48.92
tt0480255,The Losers,The Losers,2010,"Action, Adventure, Crime",97,"USA, France",English,Sylvain White,"Peter Berg, James Vanderbilt",Warner Bros.,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James, Tanee McCall, Mark Ginther, Daniel Kalal, Colin Follenweider, Garrett Warren",6.3,89690,$ 25000000,29397000,29.40
tt0780653,Wolfman,The Wolfman,2010,"Drama, Fantasy, Horror",103,USA,"English, Romany, Romanian, Ukrainian",Joe Johnston,"Andrew Kevin Walker, David Self",Universal Pictures,"Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro, Mario Marin-Borquez, Asa Butterfield, Cristina Contes, Anthony Hopkins, Art Malik, Malcolm Scates, Nicholas Day, Michael Cronin, David Sterne, David Schofield, Roger Frost",5.8,101634,$ 150000000,,
tt0800320,Scontro tra titani,Clash of the Titans,2010,"Action, Adventure, Fantasy",106,"USA, UK, Australia",English,Louis Leterrier,"Travis Beacham, Phil Hay",Warner Bros.,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans, Izabella Miko, Liam Cunningham, Hans Matheson, Ashraf Barhom, Mouloud Achour, Ian Whyte",5.8,267178,$ 125000000,493214000,493.21
tt0840361,The Town,The Town,2010,"Crime, Drama, Thriller",125,USA,English,Ben Affleck,"Peter Craig, Ben Affleck",Warner Bros.,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, Slaine, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V.",7.5,344976,$ 37000000,154026000,154.03
tt0879870,Mangia prega ama,Eat Pray Love,2010,"Biography, Drama, Romance",133,USA,"English, Italian, Portuguese",Ryan Murphy,"Ryan Murphy, Jennifer Salt",Columbia Pictures,"Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup, Viola Davis, A. Jay Radcliff, Mike O'Malley, Ashlie Atkinson, James Franco, Lisa Roberts Gillan, Ryan O'Nan, Gita Reddy, Dwayne Clark, Jen Kwok, Mary Testa",5.8,86198,$ 60000000,204594000,204.59
tt0926084,Harry Potter e i Doni della Morte - Parte 1,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",146,"UK, USA",English,David Yates,"Steve Kloves, J.K. Rowling",Warner Bros.,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling, Daniel Radcliffe, Julie Walters, Bonnie Wright, Rupert Grint, Ian Kelly, Michelle Fairley, Fiona Shaw, Alan Rickman, Carolyn Pickles, Ralph Fiennes, Helena Bonham Carter",7.7,463108,GBP 150000000,977040000,977.04
tt0944835,Salt,Salt,2010,"Action, Mystery, Thriller",100,USA,"English, Russian, Korean",Phillip Noyce,Kurt Wimmer,Columbia Pictures,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl, Daniel Pearce, Hunt Block, Andre Braugher, Olek Krupa, Cassidy Hinkle, Corey Stoll, Vladislav Koulikov, Olya Zueva, Kevin O'Donnell, Gaius Charles",6.4,291354,$ 110000000,293503000,293.50
tt0947810,Green Zone,Green Zone,2010,"Action, Drama, Thriller",115,"UK, France, Spain, USA","English, Arabic",Paul Greengrass,"Brian Helgeland, Rajiv Chandrasekaran",Universal Pictures,"Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi, Matt Damon, Nicoye Banks, Jerry Della Salla, Sean Huze, Michael J. Dwyer, Edouard H.R. Gluck, Brian Siefkes, Adam Wendling, Abdul Henderson, Paul Karsko, Robert Miller",6.8,127645,$ 100000000,154710000,154.71
tt0955308,Robin Hood,Robin Hood,2010,"Action, Adventure, Drama",140,"USA, UK","English, French, Ukrainian",Ridley Scott,"Brian Helgeland, Brian Helgeland",Universal Pictures,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong, Oscar Isaac, Danny Huston, Eileen Atkins, Mark Addy, Matthew Macfadyen, Kevin Durand, Scott Grimes, Alan Doyle, Douglas Hodge, Léa Seydoux",6.6,249741,$ 200000000,321669000,321.67
tt0970866,Vi presento i nostri,Little Fockers,2010,"Comedy, Romance",98,USA,"English, Ukrainian",Paul Weitz,"John Hamburg, Larry Stuckey",Universal Pictures,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman, Barbra Streisand, Blythe Danner, Teri Polo, Jessica Alba, Laura Dern, Kevin Hart, Daisy Tahan, Colin Baiocchi, Tom McCarthy, Harvey Keitel, Yul Vazquez",5.5,104817,$ 100000000,310650000,310.65
tt1038919,Il cacciatore di ex,The Bounty Hunter,2010,"Action, Comedy, Romance",110,USA,"English, Ukrainian",Andy Tennant,Sarah Thorp,Columbia Pictures,"Gerard Butler, Jennifer Aniston, Gio Perez, Joel Marsh Garland, Jason Kolotouros, Matt Malloy, Jason Sudeikis, Adam Rose, Christine Baranski, Dorian Missick, David Costabile, Lynda Gravatt, Peter Greene, Jeff Garlin, Siobhan Fallon Hogan",5.6,119522,$ 40000000,136333000,136.33
tt1053424,Repo Men,Repo Men,2010,"Action, Sci-Fi, Thriller",111,"USA, Canada","English, Spanish",Miguel Sapochnik,"Eric Garcia, Garrett Lerner",Universal Pictures,"Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber, Carice van Houten, Chandler Canterbury, Joe Pingue, Liza Lapira, Tiffany Espensen, Yvette Nicole Brown, RZA, Wayne Ward, Tanya Clarke, Max Turnbull, Howard Hoover",6.3,99553,$ 32000000,18409000,18.41
tt1075747,Jonah Hex,Jonah Hex,2010,"Action, Drama, Fantasy",81,USA,English,Jimmy Hayward,"Mark Neveldine, Brian Taylor",Warner Bros.,"Josh Brolin, John Malkovich, Megan Fox, Michael Fassbender, Will Arnett, John Gallagher Jr., Tom Wopat, Michael Shannon, Wes Bentley, Julia Jones, Luke James Fleischmann, Rio Hackford, David Jensen, Billy Blair, Sean Boyd",4.7,54639,$ 47000000,10903000,10.90
tt1155076,The Karate Kid - La leggenda continua,The Karate Kid,2010,"Action, Drama, Family",140,"USA, China","English, Mandarin",Harald Zwart,"Christopher Murphey, Robert Mark Kamen",Columbia Pictures,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Rongguang Yu, Zhensu Wu, Zhiheng Wang, Zhenwei Wang, Jared Minns, Shijia Lü, Yi Zhao, Bo Zhang, Luke Carberry, Cameron Hillman, Ghye Samuel Brown",6.2,157587,$ 40000000,359126000,359.13
tt1196204,L'ordine naturale dei sogni,Cemetery Junction,2010,"Comedy, Drama",95,UK,English,"Ricky Gervais, Stephen Merchant","Ricky Gervais, Stephen Merchant",Columbia Pictures,"Tom Hughes, Ricky Gervais, Christian Cooke, Ralph Fiennes, Matthew Goode, Jack Doolan, Steve Speirs, Jessica Jones, Madeleine Dunbar, Andrew Brooke, Burn Gorman, Anne Reid, Julia Davis, Albert Welling, Katy Murphy",6.9,19637,,,
tt1212419,Hereafter,Hereafter,2010,"Drama, Fantasy, Romance",129,USA,"English, French, German",Clint Eastwood,Peter Morgan,Warner Bros.,"Cécile de France, Thierry Neuvic, Cyndi Mayo, Lisa Griffiths, Jessica Griffiths, Ferguson Reid, Derek Sakakura, Jay Mohr, Richard Kind, Matt Damon, Charlie Creed-Miles, Frankie McLaren, George McLaren, Lyndsey Marshal, Rebekah Staton",6.4,89563,$ 50000000,106956000,106.96
tt1216492,Una proposta per dire sì,Leap Year,2010,"Comedy, Romance",100,"USA, Ireland","English, Ukrainian",Anand Tucker,"Deborah Kaplan, Harry Elfont",Universal Pictures,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan, Tony Rohr, Pat Laffan, Alan Devlin, Ian McElhinney, Dominique McElligott, Mark O'Regan, Maggie McCarthy, Peter O'Meara, Macdara Ó Fátharta, Kaitlin Olson",6.5,92326,$ 19000000,32680000,32.68
